p_id,session,age,group,corsi_acc_t,corsi_max_wm_t,totalsessions,trainingslope,Fssrtnr_t,ay_bx_error_t,PBI_error_t,cf_switch_acc_t,psedooneFArate_t,psedotwoFArate_t,stroop_error_t,flankerswitch_error_t,flank_inh_error_t
74,0,10.061111,2,.42857143,5,29,-4.9554925,,0,0,0,.14285715,.071428575,.083333336,-.15476191,-.1
74,1,10.061111,2,.42857143,5,29,-4.9554925,200,.16666667,.33333334,18.181816,.10714286,.035714287,.11111111,-.059523821,.0058479533
74,2,10.061111,2,.5,6,29,-4.9554925,316.22223,0,0,24.886879,,,,,
75,0,8.9972219,2,.5714286,7,10,-20.564966,154.07692,-.083333336,-.33333334,-6.6985626,.071428575,.071428575,.055555556,.15476191,.050000001
75,1,8.9972219,2,,,10,-20.564966,,,,,,,,,
75,2,8.9972219,2,,,10,-20.564966,,,,,,,,,
76,0,10.2,1,.5,7,25,.41769537,,0,0,0,.071428575,.071428575,0,.13095242,0
76,1,10.2,1,,,25,.41769537,,,,,,,,,
76,2,10.2,1,,,25,.41769537,,,,,,,,,
77,0,6.2416668,1,.35714287,4,28,-6.687573,320.84616,.083333336,.33333334,-1.4354019,.035714287,.10714286,0,.39285713,.13398692
77,1,6.2416668,1,,,28,-6.687573,,,,,,,,,
77,2,6.2416668,1,,,28,-6.687573,,,,,,,,,
78,0,9.6416664,1,.35714287,4,9,-7.7806954,301,.16666667,.59997439,-31.578949,0,.035714287,.05555556,.5714286,0
78,1,9.6416664,1,.42857143,5,9,-7.7806954,182,-.33333334,-.777762,7.6555023,.035714287,0,.11111112,.15476191,.15000001
78,2,9.6416664,1,.5714286,7,9,-7.7806954,250.23529,.16666667,.33333334,-4.072403,,,,,
79,0,10.511111,2,.5,7,18,-2.1909411,163,0,0,2.3923416,.035714287,.10714286,.055555556,.34523809,0
79,1,10.511111,2,.5,6,18,-2.1909411,163,0,0,-5.2631607,.071428575,.17857143,.027777778,.34523809,-.050000001
79,2,10.511111,2,.5,7,18,-2.1909411,98.526314,0,0,23.07692,,,,,
80,0,10.777778,1,.42857143,6,15,-12.581874,209,.25,.60000002,3.8277512,.10714286,0,.11111111,,
80,1,10.777778,1,.42857143,6,15,-12.581874,203.15384,.083333336,.33329782,-5.2631607,.035714287,.10714286,0,.1785714,0
80,2,10.777778,1,.5,8,15,-12.581874,145.29411,-.083333336,-.33329782,-5.8823547,,,,,
81,0,8.8999996,1,.42857143,5,8,-18.335716,228.69231,.25,.71426612,-5.2631607,.071428575,.071428575,0,-.035714269,.1777778
81,1,8.8999996,1,.5,5,8,-18.335716,243,.41666666,.81816858,3.8277512,.17857143,.071428575,.055555556,.15476191,0
81,2,8.8999996,1,.5,6,8,-18.335716,,-.16666667,-.59997439,7.6923065,,,,,
82,0,7.0749998,1,.2857143,,21,-12.80201,229,.083333313,.11111108,10.047848,.21428572,0,.19444442,-.09523809,.27083334
82,1,7.0749998,1,.35714287,6,21,-12.80201,207.69231,-.16666666,-.5,-5.2631607,.25,.2857143,.13888888,.22619048,.3263889
82,2,7.0749998,1,,,21,-12.80201,254.73685,,,,,,,,
83,0,7.0749998,1,.42857143,4,18,-15.668471,174,-.098484851,-.37142858,-17.224876,.14285715,.25,.027777791,.023809552,.1875
